S.No,From Date,To Date,PM2.5 (ug/m3),Ozone (ug/m3),SO2 (),PM10 (ug/m3),NO2 (ug/m3),CO (mg/m3)
270,27-Sep-2017 - 00:00,28-Sep-2017 - 00:00,,,,,,
271,28-Sep-2017 - 00:00,29-Sep-2017 - 00:00,,,,,,
272,29-Sep-2017 - 00:00,30-Sep-2017 - 00:00,,,,,,
273,30-Sep-2017 - 00:00,01-Oct-2017 - 00:00,,,,,,
274,01-Oct-2017 - 00:00,02-Oct-2017 - 00:00,,,,,,
275,02-Oct-2017 - 00:00,03-Oct-2017 - 00:00,,,,,,
276,03-Oct-2017 - 00:00,04-Oct-2017 - 00:00,,,,,,
277,04-Oct-2017 - 00:00,05-Oct-2017 - 00:00,,,,,,
278,05-Oct-2017 - 00:00,06-Oct-2017 - 00:00,,,,,,
279,06-Oct-2017 - 00:00,07-Oct-2017 - 00:00,,,,,,
280,07-Oct-2017 - 00:00,08-Oct-2017 - 00:00,,,,,,
281,08-Oct-2017 - 00:00,09-Oct-2017 - 00:00,,,,,,
282,09-Oct-2017 - 00:00,10-Oct-2017 - 00:00,,,,,,
283,10-Oct-2017 - 00:00,11-Oct-2017 - 00:00,,,,,,
284,11-Oct-2017 - 00:00,12-Oct-2017 - 00:00,,,,,,
285,12-Oct-2017 - 00:00,13-Oct-2017 - 00:00,,,,,,
286,13-Oct-2017 - 00:00,14-Oct-2017 - 00:00,,,,,,
287,14-Oct-2017 - 00:00,15-Oct-2017 - 00:00,,,,,,
288,15-Oct-2017 - 00:00,16-Oct-2017 - 00:00,,,,,,
289,16-Oct-2017 - 00:00,17-Oct-2017 - 00:00,,,,,,
290,17-Oct-2017 - 00:00,18-Oct-2017 - 00:00,,,,,,
291,18-Oct-2017 - 00:00,19-Oct-2017 - 00:00,,,,,,
292,19-Oct-2017 - 00:00,20-Oct-2017 - 00:00,,,,,,
293,20-Oct-2017 - 00:00,21-Oct-2017 - 00:00,,,,,,
294,21-Oct-2017 - 00:00,22-Oct-2017 - 00:00,,,,,,
295,22-Oct-2017 - 00:00,23-Oct-2017 - 00:00,,,,,,
296,23-Oct-2017 - 00:00,24-Oct-2017 - 00:00,,,,,,
297,24-Oct-2017 - 00:00,25-Oct-2017 - 00:00,,,,,,
298,25-Oct-2017 - 00:00,26-Oct-2017 - 00:00,,,,,,
299,26-Oct-2017 - 00:00,27-Oct-2017 - 00:00,,,,,,
,,,,,,,,
401,05-Feb-2018 - 00:00,06-Feb-2018 - 00:00,375.54,,,,,
402,06-Feb-2018 - 00:00,07-Feb-2018 - 00:00,149.16,23.05,5.62,266.0,44.54,1.02
403,07-Feb-2018 - 00:00,08-Feb-2018 - 00:00,208.1,32.67,5.05,277.41,38.22,0.82
404,08-Feb-2018 - 00:00,09-Feb-2018 - 00:00,291.03,9.51,3.04,362.0,35.26,0.77
405,09-Feb-2018 - 00:00,10-Feb-2018 - 00:00,230.2,28.05,5.09,288.13,41.77,0.8
406,10-Feb-2018 - 00:00,11-Feb-2018 - 00:00,197.77,30.42,4.6,279.01,44.8,0.92
407,11-Feb-2018 - 00:00,12-Feb-2018 - 00:00,150.45,39.77,5.28,220.93,43.28,0.74
408,12-Feb-2018 - 00:00,13-Feb-2018 - 00:00,120.04,35.62,4.98,188.84,37.6,0.58
409,13-Feb-2018 - 00:00,14-Feb-2018 - 00:00,136.09,39.78,5.0,210.93,30.13,0.68
410,14-Feb-2018 - 00:00,15-Feb-2018 - 00:00,164.05,27.62,4.38,209.41,29.4,0.68
411,15-Feb-2018 - 00:00,16-Feb-2018 - 00:00,97.74,31.47,5.27,175.73,41.66,0.89
412,16-Feb-2018 - 00:00,17-Feb-2018 - 00:00,142.32,33.93,7.33,210.96,38.33,0.61
413,17-Feb-2018 - 00:00,18-Feb-2018 - 00:00,132.79,40.07,5.06,193.03,34.31,0.75
414,18-Feb-2018 - 00:00,19-Feb-2018 - 00:00,192.02,41.26,6.52,254.48,37.51,0.96
415,19-Feb-2018 - 00:00,20-Feb-2018 - 00:00,176.03,41.05,4.94,284.87,39.0,0.99
416,20-Feb-2018 - 00:00,21-Feb-2018 - 00:00,163.67,37.42,4.58,256.55,41.24,0.78
417,21-Feb-2018 - 00:00,22-Feb-2018 - 00:00,159.09,33.48,4.19,247.75,42.52,0.75
418,22-Feb-2018 - 00:00,23-Feb-2018 - 00:00,153.73,41.6,4.71,236.28,41.97,0.78
419,23-Feb-2018 - 00:00,24-Feb-2018 - 00:00,113.03,50.9,4.58,183.01,34.89,0.61
420,24-Feb-2018 - 00:00,25-Feb-2018 - 00:00,92.65,41.71,4.17,148.05,30.32,0.77
421,25-Feb-2018 - 00:00,26-Feb-2018 - 00:00,112.33,38.36,3.38,173.97,32.87,0.89
422,26-Feb-2018 - 00:00,27-Feb-2018 - 00:00,75.29,50.52,2.58,110.44,21.33,0.58
423,27-Feb-2018 - 00:00,28-Feb-2018 - 00:00,53.19,38.39,2.09,86.63,25.68,0.88
424,28-Feb-2018 - 00:00,01-Mar-2018 - 00:00,54.13,34.82,3.57,138.19,29.71,0.67
425,01-Mar-2018 - 00:00,02-Mar-2018 - 00:00,31.31,30.91,5.26,223.4,30.84,0.87
426,02-Mar-2018 - 00:00,03-Mar-2018 - 00:00,50.5,51.78,1.78,109.89,14.86,0.53
427,03-Mar-2018 - 00:00,04-Mar-2018 - 00:00,79.43,51.62,1.99,106.2,18.95,0.79
428,04-Mar-2018 - 00:00,05-Mar-2018 - 00:00,72.13,48.31,2.42,106.27,20.56,0.81
429,05-Mar-2018 - 00:00,06-Mar-2018 - 00:00,74.28,45.14,3.09,115.94,19.28,0.71
430,06-Mar-2018 - 00:00,07-Mar-2018 - 00:00,69.06,52.94,3.59,121.26,19.64,0.74
431,07-Mar-2018 - 00:00,08-Mar-2018 - 00:00,124.21,40.48,7.54,204.2,37.3,0.86
432,08-Mar-2018 - 00:00,09-Mar-2018 - 00:00,110.17,51.85,6.94,187.25,32.03,0.75
433,09-Mar-2018 - 00:00,10-Mar-2018 - 00:00,124.72,51.26,5.15,190.72,29.53,0.56
434,10-Mar-2018 - 00:00,11-Mar-2018 - 00:00,111.19,51.44,5.59,168.89,34.42,0.91
435,11-Mar-2018 - 00:00,12-Mar-2018 - 00:00,98.17,46.3,3.18,126.91,32.81,0.45
436,12-Mar-2018 - 00:00,13-Mar-2018 - 00:00,61.0,58.16,20.95,81.78,29.14,0.55
437,13-Mar-2018 - 00:00,14-Mar-2018 - 00:00,57.57,28.54,13.26,75.28,41.51,0.96
438,14-Mar-2018 - 00:00,15-Mar-2018 - 00:00,101.29,39.75,6.15,157.45,44.15,0.98
439,15-Mar-2018 - 00:00,16-Mar-2018 - 00:00,137.08,34.84,6.31,169.33,41.48,0.77
440,16-Mar-2018 - 00:00,17-Mar-2018 - 00:00,136.04,42.67,7.96,186.68,36.84,0.97
441,17-Mar-2018 - 00:00,18-Mar-2018 - 00:00,137.88,41.58,7.61,223.73,43.92,0.93
442,18-Mar-2018 - 00:00,19-Mar-2018 - 00:00,152.92,41.9,6.45,220.55,48.03,1.05
443,19-Mar-2018 - 00:00,20-Mar-2018 - 00:00,234.47,45.41,7.4,312.34,56.04,1.95
444,20-Mar-2018 - 00:00,21-Mar-2018 - 00:00,239.08,41.19,6.98,322.39,60.31,1.4
445,21-Mar-2018 - 00:00,22-Mar-2018 - 00:00,235.69,38.14,8.12,317.28,58.09,0.91
446,22-Mar-2018 - 00:00,23-Mar-2018 - 00:00,159.58,50.36,6.59,237.37,48.7,0.69
447,23-Mar-2018 - 00:00,24-Mar-2018 - 00:00,97.36,66.19,5.15,136.24,33.6,0.72
448,24-Mar-2018 - 00:00,25-Mar-2018 - 00:00,133.31,66.1,5.04,136.34,26.61,0.67
449,25-Mar-2018 - 00:00,26-Mar-2018 - 00:00,100.01,58.74,6.65,152.92,34.43,0.96
450,26-Mar-2018 - 00:00,27-Mar-2018 - 00:00,118.53,71.1,5.32,189.26,34.42,0.56
451,27-Mar-2018 - 00:00,28-Mar-2018 - 00:00,82.62,66.03,3.59,121.42,29.36,0.8
452,28-Mar-2018 - 00:00,29-Mar-2018 - 00:00,101.33,48.31,5.65,150.28,41.36,0.8
453,29-Mar-2018 - 00:00,30-Mar-2018 - 00:00,102.28,47.3,3.42,148.31,35.3,0.54
454,30-Mar-2018 - 00:00,31-Mar-2018 - 00:00,53.71,43.78,2.9,80.49,29.64,0.7
455,31-Mar-2018 - 00:00,01-Apr-2018 - 00:00,41.48,51.87,3.17,66.94,32.05,0.73
456,01-Apr-2018 - 00:00,02-Apr-2018 - 00:00,65.22,53.99,3.57,93.12,38.34,1.0
457,02-Apr-2018 - 00:00,03-Apr-2018 - 00:00,97.37,43.13,4.98,144.42,36.94,0.79
458,03-Apr-2018 - 00:00,04-Apr-2018 - 00:00,110.43,51.88,5.69,161.68,39.7,0.91
459,04-Apr-2018 - 00:00,05-Apr-2018 - 00:00,127.92,39.61,5.21,199.18,48.63,0.71
460,05-Apr-2018 - 00:00,06-Apr-2018 - 00:00,101.39,34.41,3.4,157.46,44.11,0.69
461,06-Apr-2018 - 00:00,07-Apr-2018 - 00:00,102.74,50.49,8.05,115.83,33.8,0.67
462,07-Apr-2018 - 00:00,08-Apr-2018 - 00:00,76.95,57.15,10.19,98.26,28.97,0.7
463,08-Apr-2018 - 00:00,09-Apr-2018 - 00:00,45.59,48.02,14.77,80.31,25.27,0.81
464,09-Apr-2018 - 00:00,10-Apr-2018 - 00:00,43.39,34.88,2.07,56.63,24.86,0.83
465,10-Apr-2018 - 00:00,11-Apr-2018 - 00:00,47.3,43.66,26.99,71.63,28.72,0.75
466,11-Apr-2018 - 00:00,12-Apr-2018 - 00:00,27.8,51.12,,50.53,22.71,0.72
467,12-Apr-2018 - 00:00,13-Apr-2018 - 00:00,28.39,46.58,,48.35,25.35,0.81
468,13-Apr-2018 - 00:00,14-Apr-2018 - 00:00,30.7,57.71,,51.9,21.61,0.84
469,14-Apr-2018 - 00:00,15-Apr-2018 - 00:00,39.99,51.36,,70.58,27.46,0.84
470,15-Apr-2018 - 00:00,16-Apr-2018 - 00:00,42.67,56.62,,77.45,21.87,0.73
471,16-Apr-2018 - 00:00,17-Apr-2018 - 00:00,43.32,51.2,,77.8,27.64,0.86
472,17-Apr-2018 - 00:00,18-Apr-2018 - 00:00,41.42,51.11,,74.2,28.44,0.73
473,18-Apr-2018 - 00:00,19-Apr-2018 - 00:00,26.25,51.45,,53.19,25.03,0.76
474,19-Apr-2018 - 00:00,20-Apr-2018 - 00:00,27.12,50.48,,50.88,24.13,0.82
475,20-Apr-2018 - 00:00,21-Apr-2018 - 00:00,37.86,40.45,,67.32,25.55,0.81
476,21-Apr-2018 - 00:00,22-Apr-2018 - 00:00,39.66,37.06,,68.32,20.52,0.85
477,22-Apr-2018 - 00:00,23-Apr-2018 - 00:00,40.21,48.66,,71.64,19.16,0.87
478,23-Apr-2018 - 00:00,24-Apr-2018 - 00:00,52.42,54.28,1.5,109.01,22.62,0.77
479,24-Apr-2018 - 00:00,25-Apr-2018 - 00:00,46.14,63.49,2.47,104.65,24.12,0.73
480,25-Apr-2018 - 00:00,26-Apr-2018 - 00:00,45.55,74.95,5.8,89.94,27.13,0.75
481,26-Apr-2018 - 00:00,27-Apr-2018 - 00:00,36.63,65.38,5.28,69.2,29.37,0.68
482,27-Apr-2018 - 00:00,28-Apr-2018 - 00:00,38.99,53.23,4.98,95.61,34.76,0.78
483,28-Apr-2018 - 00:00,29-Apr-2018 - 00:00,48.6,46.33,7.97,107.37,28.51,0.68
484,29-Apr-2018 - 00:00,30-Apr-2018 - 00:00,43.36,46.16,5.02,101.89,28.2,0.81
485,30-Apr-2018 - 00:00,01-May-2018 - 00:00,29.78,42.72,3.63,57.37,28.04,0.92
486,01-May-2018 - 00:00,02-May-2018 - 00:00,29.85,46.72,3.09,58.99,21.93,0.64
487,02-May-2018 - 00:00,03-May-2018 - 00:00,18.22,48.46,3.11,38.15,21.7,0.73
488,03-May-2018 - 00:00,04-May-2018 - 00:00,26.49,32.0,15.12,64.21,32.27,0.73
489,04-May-2018 - 00:00,05-May-2018 - 00:00,25.06,47.62,4.02,46.7,27.7,0.78
490,05-May-2018 - 00:00,06-May-2018 - 00:00,31.55,42.35,6.57,60.61,27.74,0.75
491,06-May-2018 - 00:00,07-May-2018 - 00:00,27.06,42.87,3.65,53.39,18.71,0.68
492,07-May-2018 - 00:00,08-May-2018 - 00:00,25.36,30.04,3.35,60.64,22.49,0.81
493,08-May-2018 - 00:00,09-May-2018 - 00:00,24.63,30.15,3.6,58.66,21.56,0.8
494,09-May-2018 - 00:00,10-May-2018 - 00:00,25.96,49.38,22.38,58.25,20.58,0.61
495,10-May-2018 - 00:00,11-May-2018 - 00:00,26.4,51.5,4.29,57.16,22.01,0.74
496,11-May-2018 - 00:00,12-May-2018 - 00:00,22.95,59.53,5.1,59.64,22.92,0.76
497,12-May-2018 - 00:00,13-May-2018 - 00:00,36.93,53.68,4.75,79.31,28.75,0.93
498,13-May-2018 - 00:00,14-May-2018 - 00:00,31.39,48.79,4.7,90.71,26.51,0.76
499,14-May-2018 - 00:00,15-May-2018 - 00:00,20.3,45.39,2.91,37.82,19.79,0.96
,,,,,,,,
501,16-May-2018 - 00:00,17-May-2018 - 00:00,24.37,56.33,4.16,50.55,20.0,0.81
502,17-May-2018 - 00:00,18-May-2018 - 00:00,36.4,43.79,3.91,81.11,27.83,0.82
503,18-May-2018 - 00:00,19-May-2018 - 00:00,32.73,48.22,3.56,69.12,22.8,0.62
504,19-May-2018 - 00:00,20-May-2018 - 00:00,35.59,33.22,3.14,70.05,27.91,0.9
505,20-May-2018 - 00:00,21-May-2018 - 00:00,34.09,35.78,3.0,72.28,18.87,0.71
506,21-May-2018 - 00:00,22-May-2018 - 00:00,36.29,33.05,2.85,63.4,24.97,0.96
507,22-May-2018 - 00:00,23-May-2018 - 00:00,57.25,26.22,14.2,78.94,23.2,0.79
508,23-May-2018 - 00:00,24-May-2018 - 00:00,27.06,30.87,2.54,44.9,18.63,0.8
509,24-May-2018 - 00:00,25-May-2018 - 00:00,19.61,36.54,2.61,43.4,18.79,0.94
510,25-May-2018 - 00:00,26-May-2018 - 00:00,33.0,20.89,2.53,59.59,22.89,0.91
511,26-May-2018 - 00:00,27-May-2018 - 00:00,27.14,32.46,2.37,53.56,18.52,0.79
512,27-May-2018 - 00:00,28-May-2018 - 00:00,26.92,44.07,2.25,44.47,15.1,0.81
513,28-May-2018 - 00:00,29-May-2018 - 00:00,26.74,67.93,2.91,42.79,18.46,0.76
514,29-May-2018 - 00:00,30-May-2018 - 00:00,25.94,59.11,2.72,49.05,23.46,0.86
515,30-May-2018 - 00:00,31-May-2018 - 00:00,34.69,34.02,3.83,68.82,27.94,0.77
516,31-May-2018 - 00:00,01-Jun-2018 - 00:00,28.86,41.97,3.01,52.54,16.79,0.68
517,01-Jun-2018 - 00:00,02-Jun-2018 - 00:00,22.03,44.85,2.56,33.28,24.38,0.86
518,02-Jun-2018 - 00:00,03-Jun-2018 - 00:00,29.33,35.52,3.09,56.52,22.27,0.78
519,03-Jun-2018 - 00:00,04-Jun-2018 - 00:00,29.59,31.0,3.01,48.29,18.1,0.9
520,04-Jun-2018 - 00:00,05-Jun-2018 - 00:00,34.04,30.82,2.68,59.95,21.47,0.9
521,05-Jun-2018 - 00:00,06-Jun-2018 - 00:00,41.35,25.75,3.23,67.61,22.89,0.83
522,06-Jun-2018 - 00:00,07-Jun-2018 - 00:00,45.27,29.29,2.29,72.01,21.07,0.69
523,07-Jun-2018 - 00:00,08-Jun-2018 - 00:00,26.77,23.56,2.24,46.18,21.38,0.86
524,08-Jun-2018 - 00:00,09-Jun-2018 - 00:00,27.83,19.31,2.4,41.32,21.58,0.87
525,09-Jun-2018 - 00:00,10-Jun-2018 - 00:00,36.47,22.36,3.61,57.59,21.16,0.69
526,10-Jun-2018 - 00:00,11-Jun-2018 - 00:00,28.42,23.32,2.83,56.91,20.38,0.81
527,11-Jun-2018 - 00:00,12-Jun-2018 - 00:00,19.34,24.26,2.41,33.91,16.66,0.86
528,12-Jun-2018 - 00:00,13-Jun-2018 - 00:00,15.55,27.15,2.46,25.01,17.75,0.94
529,13-Jun-2018 - 00:00,14-Jun-2018 - 00:00,17.63,25.45,2.51,27.48,16.0,0.87
530,14-Jun-2018 - 00:00,15-Jun-2018 - 00:00,25.67,48.84,37.81,50.33,23.99,0.94
531,15-Jun-2018 - 00:00,16-Jun-2018 - 00:00,49.6,25.97,2.32,101.57,20.35,0.77
532,16-Jun-2018 - 00:00,17-Jun-2018 - 00:00,44.08,27.71,2.44,82.6,17.13,0.83
533,17-Jun-2018 - 00:00,18-Jun-2018 - 00:00,27.49,27.29,2.35,48.62,15.84,0.96
534,18-Jun-2018 - 00:00,19-Jun-2018 - 00:00,27.76,28.67,2.47,55.1,19.39,0.91
535,19-Jun-2018 - 00:00,20-Jun-2018 - 00:00,42.56,27.6,27.39,93.25,19.57,0.9
536,20-Jun-2018 - 00:00,21-Jun-2018 - 00:00,37.62,33.98,2.32,68.01,19.73,0.82
537,21-Jun-2018 - 00:00,22-Jun-2018 - 00:00,36.15,38.62,2.38,52.15,16.72,0.78
538,22-Jun-2018 - 00:00,23-Jun-2018 - 00:00,31.97,35.65,2.3,53.96,18.6,0.88
539,23-Jun-2018 - 00:00,24-Jun-2018 - 00:00,28.51,31.77,2.17,36.74,17.28,0.89
540,24-Jun-2018 - 00:00,25-Jun-2018 - 00:00,29.5,32.81,17.93,36.43,15.03,0.82
541,25-Jun-2018 - 00:00,26-Jun-2018 - 00:00,30.57,33.52,9.96,41.41,19.34,0.89
542,26-Jun-2018 - 00:00,27-Jun-2018 - 00:00,39.67,30.91,2.12,54.06,19.2,0.83
543,27-Jun-2018 - 00:00,28-Jun-2018 - 00:00,29.07,19.83,2.29,47.5,15.01,0.82
544,28-Jun-2018 - 00:00,29-Jun-2018 - 00:00,18.39,17.49,2.26,31.51,15.69,0.9
545,29-Jun-2018 - 00:00,30-Jun-2018 - 00:00,22.8,11.73,2.31,31.21,19.36,0.82
546,30-Jun-2018 - 00:00,01-Jul-2018 - 00:00,18.37,16.39,2.43,28.68,16.74,0.82
547,01-Jul-2018 - 00:00,02-Jul-2018 - 00:00,15.39,21.66,2.39,21.51,13.99,0.86
548,02-Jul-2018 - 00:00,03-Jul-2018 - 00:00,15.58,15.26,2.34,32.44,20.21,0.86
549,03-Jul-2018 - 00:00,04-Jul-2018 - 00:00,21.47,12.65,2.06,32.32,14.69,0.58
550,04-Jul-2018 - 00:00,05-Jul-2018 - 00:00,24.22,17.56,1.94,27.95,20.39,0.76
551,05-Jul-2018 - 00:00,06-Jul-2018 - 00:00,30.24,22.33,2.07,33.58,18.61,0.93
552,06-Jul-2018 - 00:00,07-Jul-2018 - 00:00,38.08,15.78,2.08,66.12,19.18,0.6
553,07-Jul-2018 - 00:00,08-Jul-2018 - 00:00,41.03,15.89,2.02,61.46,18.59,0.59
554,08-Jul-2018 - 00:00,09-Jul-2018 - 00:00,17.56,9.51,18.7,34.71,19.92,0.71
555,09-Jul-2018 - 00:00,10-Jul-2018 - 00:00,15.03,11.05,18.1,30.21,18.43,0.74
556,10-Jul-2018 - 00:00,11-Jul-2018 - 00:00,18.09,12.35,2.11,33.81,17.18,0.7
557,11-Jul-2018 - 00:00,12-Jul-2018 - 00:00,14.67,14.98,2.29,37.64,16.14,0.9
558,12-Jul-2018 - 00:00,13-Jul-2018 - 00:00,18.56,9.42,2.15,50.19,16.12,0.74
559,13-Jul-2018 - 00:00,14-Jul-2018 - 00:00,14.86,14.37,16.76,35.62,14.06,0.74
560,14-Jul-2018 - 00:00,15-Jul-2018 - 00:00,13.71,11.14,2.1,37.24,18.42,0.82
561,15-Jul-2018 - 00:00,16-Jul-2018 - 00:00,19.06,6.89,5.43,45.92,15.89,0.43
562,16-Jul-2018 - 00:00,17-Jul-2018 - 00:00,11.67,10.76,2.06,29.1,13.39,0.62
563,17-Jul-2018 - 00:00,18-Jul-2018 - 00:00,11.0,11.54,2.09,28.31,14.66,0.73
564,18-Jul-2018 - 00:00,19-Jul-2018 - 00:00,18.16,11.07,19.35,41.61,18.17,0.8
565,19-Jul-2018 - 00:00,20-Jul-2018 - 00:00,18.25,9.63,2.22,49.45,16.82,0.72
566,20-Jul-2018 - 00:00,21-Jul-2018 - 00:00,18.23,11.49,10.57,53.41,14.79,0.6
567,21-Jul-2018 - 00:00,22-Jul-2018 - 00:00,13.24,12.39,2.27,22.83,10.78,0.8
568,22-Jul-2018 - 00:00,23-Jul-2018 - 00:00,10.72,14.01,2.34,21.95,9.94,0.85
569,23-Jul-2018 - 00:00,24-Jul-2018 - 00:00,13.35,16.76,2.33,29.27,10.74,0.65
570,24-Jul-2018 - 00:00,25-Jul-2018 - 00:00,11.08,14.86,1.96,26.19,11.22,0.73
571,25-Jul-2018 - 00:00,26-Jul-2018 - 00:00,16.03,13.61,1.97,33.14,14.29,0.71
572,26-Jul-2018 - 00:00,27-Jul-2018 - 00:00,18.58,12.35,2.11,34.42,14.7,0.67
573,27-Jul-2018 - 00:00,28-Jul-2018 - 00:00,15.23,15.02,1.96,36.39,16.02,0.67
574,28-Jul-2018 - 00:00,29-Jul-2018 - 00:00,9.48,13.47,2.01,29.96,12.87,0.67
575,29-Jul-2018 - 00:00,30-Jul-2018 - 00:00,13.04,14.41,2.34,28.27,13.69,0.8
576,30-Jul-2018 - 00:00,31-Jul-2018 - 00:00,19.94,14.31,1.98,32.23,19.94,0.71
577,31-Jul-2018 - 00:00,01-Aug-2018 - 00:00,18.79,14.78,2.11,39.04,16.93,0.58
578,01-Aug-2018 - 00:00,02-Aug-2018 - 00:00,15.65,14.49,2.35,34.51,19.03,0.91
579,02-Aug-2018 - 00:00,03-Aug-2018 - 00:00,15.85,12.56,2.28,33.85,13.83,0.47
580,03-Aug-2018 - 00:00,04-Aug-2018 - 00:00,20.01,15.37,9.74,35.8,16.5,0.76
581,04-Aug-2018 - 00:00,05-Aug-2018 - 00:00,18.88,17.06,2.07,47.08,16.28,0.56
582,05-Aug-2018 - 00:00,06-Aug-2018 - 00:00,25.49,18.54,2.02,50.64,13.14,0.67
583,06-Aug-2018 - 00:00,07-Aug-2018 - 00:00,18.12,13.64,2.1,40.3,14.2,0.51
584,07-Aug-2018 - 00:00,08-Aug-2018 - 00:00,16.59,14.77,11.07,34.25,25.67,0.67
585,08-Aug-2018 - 00:00,09-Aug-2018 - 00:00,17.21,18.76,2.16,43.66,21.8,0.46
586,09-Aug-2018 - 00:00,10-Aug-2018 - 00:00,17.86,19.56,2.21,52.09,16.22,0.18
587,10-Aug-2018 - 00:00,11-Aug-2018 - 00:00,16.97,24.09,1.94,37.77,13.03,0.34
588,11-Aug-2018 - 00:00,12-Aug-2018 - 00:00,13.72,22.95,8.31,25.04,15.71,0.38
589,12-Aug-2018 - 00:00,13-Aug-2018 - 00:00,19.6,19.68,2.1,28.11,16.4,0.26
590,13-Aug-2018 - 00:00,14-Aug-2018 - 00:00,16.78,18.31,2.07,27.14,15.63,0.45
591,14-Aug-2018 - 00:00,15-Aug-2018 - 00:00,18.96,12.48,22.75,34.89,21.41,0.53
592,15-Aug-2018 - 00:00,16-Aug-2018 - 00:00,11.39,11.45,2.17,29.48,15.23,0.34
593,16-Aug-2018 - 00:00,17-Aug-2018 - 00:00,12.07,9.54,2.25,30.64,19.76,0.49
594,17-Aug-2018 - 00:00,18-Aug-2018 - 00:00,23.97,16.47,2.36,48.88,16.23,0.4
595,18-Aug-2018 - 00:00,19-Aug-2018 - 00:00,26.01,13.79,3.46,54.46,17.84,0.53
596,19-Aug-2018 - 00:00,20-Aug-2018 - 00:00,25.3,15.23,2.5,47.14,16.81,0.45
597,20-Aug-2018 - 00:00,21-Aug-2018 - 00:00,13.69,13.48,10.59,41.27,25.87,0.37
598,21-Aug-2018 - 00:00,22-Aug-2018 - 00:00,11.83,14.55,1.61,27.93,18.94,0.28
599,22-Aug-2018 - 00:00,23-Aug-2018 - 00:00,17.63,11.26,2.22,32.68,20.35,0.49
,,,,,,,,
601,24-Aug-2018 - 00:00,25-Aug-2018 - 00:00,14.41,10.89,2.12,25.36,14.74,0.56
602,25-Aug-2018 - 00:00,26-Aug-2018 - 00:00,14.05,18.43,13.98,34.69,14.04,0.54
603,26-Aug-2018 - 00:00,27-Aug-2018 - 00:00,14.41,13.14,2.05,28.04,13.14,0.57
604,27-Aug-2018 - 00:00,28-Aug-2018 - 00:00,14.84,8.9,2.12,30.48,15.63,0.59
605,28-Aug-2018 - 00:00,29-Aug-2018 - 00:00,10.15,12.03,17.8,31.28,14.41,0.63
606,29-Aug-2018 - 00:00,30-Aug-2018 - 00:00,14.32,14.56,13.77,42.01,19.25,0.64
607,30-Aug-2018 - 00:00,31-Aug-2018 - 00:00,19.63,11.04,2.3,31.48,20.44,0.73
608,31-Aug-2018 - 00:00,01-Sep-2018 - 00:00,17.87,13.72,2.15,39.35,15.7,0.56
609,01-Sep-2018 - 00:00,02-Sep-2018 - 00:00,16.69,12.95,2.13,44.18,17.24,0.59
610,02-Sep-2018 - 00:00,03-Sep-2018 - 00:00,13.47,23.21,2.14,25.1,11.63,0.59
611,03-Sep-2018 - 00:00,04-Sep-2018 - 00:00,18.61,19.82,2.24,33.27,13.82,0.68
612,04-Sep-2018 - 00:00,05-Sep-2018 - 00:00,24.81,17.02,6.61,44.17,16.71,0.57
613,05-Sep-2018 - 00:00,06-Sep-2018 - 00:00,26.5,9.95,2.1,50.0,16.07,0.51
614,06-Sep-2018 - 00:00,07-Sep-2018 - 00:00,18.55,6.11,8.29,39.25,21.6,0.58
615,07-Sep-2018 - 00:00,08-Sep-2018 - 00:00,13.74,13.38,2.18,45.11,18.96,0.58
616,08-Sep-2018 - 00:00,09-Sep-2018 - 00:00,25.58,13.82,2.21,60.99,15.11,0.61
617,09-Sep-2018 - 00:00,10-Sep-2018 - 00:00,19.29,11.41,9.74,34.69,18.86,0.68
618,10-Sep-2018 - 00:00,11-Sep-2018 - 00:00,14.79,11.14,12.37,20.93,22.16,0.61
619,11-Sep-2018 - 00:00,12-Sep-2018 - 00:00,12.22,13.17,2.11,24.81,18.97,0.56
620,12-Sep-2018 - 00:00,13-Sep-2018 - 00:00,12.86,14.1,10.9,31.95,17.44,0.56
621,13-Sep-2018 - 00:00,14-Sep-2018 - 00:00,12.62,15.64,9.32,28.72,16.32,0.61
622,14-Sep-2018 - 00:00,15-Sep-2018 - 00:00,15.37,16.77,2.15,36.68,23.85,0.73
623,15-Sep-2018 - 00:00,16-Sep-2018 - 00:00,17.45,24.0,10.27,37.74,24.35,0.75
624,16-Sep-2018 - 00:00,17-Sep-2018 - 00:00,27.27,19.09,2.48,54.25,16.91,0.5
625,17-Sep-2018 - 00:00,18-Sep-2018 - 00:00,28.57,18.99,2.12,65.76,17.66,0.5
626,18-Sep-2018 - 00:00,19-Sep-2018 - 00:00,36.35,17.43,2.06,73.04,14.38,0.56
627,19-Sep-2018 - 00:00,20-Sep-2018 - 00:00,37.29,13.42,2.14,78.12,24.01,0.53
628,20-Sep-2018 - 00:00,21-Sep-2018 - 00:00,20.44,8.37,2.36,60.69,24.67,0.49
629,21-Sep-2018 - 00:00,22-Sep-2018 - 00:00,14.57,12.73,8.88,41.31,19.33,0.41
630,22-Sep-2018 - 00:00,23-Sep-2018 - 00:00,17.05,14.0,3.38,28.48,14.59,0.52
631,23-Sep-2018 - 00:00,24-Sep-2018 - 00:00,35.21,15.56,2.27,64.19,16.78,0.54
632,24-Sep-2018 - 00:00,25-Sep-2018 - 00:00,27.33,18.25,2.26,53.67,15.67,0.48
