S.No,From Date,To Date,PM2.5 (ug/m3),Ozone (ug/m3),SO2 (ug/m3),PM10 (ug/m3),NO2 (ug/m3),CO (mg/m3)
1027,24-Oct-2019 - 00:00,25-Oct-2019 - 00:00,34.93,35.62,3.72,87.03,31.9,0.41
1028,25-Oct-2019 - 00:00,26-Oct-2019 - 00:00,20.96,26.48,4.55,65.63,24.1,0.4
1029,26-Oct-2019 - 00:00,27-Oct-2019 - 00:00,55.06,18.24,7.13,84.46,32.76,0.64
1030,27-Oct-2019 - 00:00,28-Oct-2019 - 00:00,97.58,30.2,12.13,112.62,36.32,0.73
1031,28-Oct-2019 - 00:00,29-Oct-2019 - 00:00,75.47,43.51,11.14,123.76,39.5,0.63
1032,29-Oct-2019 - 00:00,30-Oct-2019 - 00:00,105.48,42.37,7.44,150.3,45.32,0.62
1033,30-Oct-2019 - 00:00,31-Oct-2019 - 00:00,98.43,43.56,5.61,157.42,47.55,0.76
1034,31-Oct-2019 - 00:00,01-Nov-2019 - 00:00,56.63,41.87,9.38,141.42,61.48,1.02
1035,01-Nov-2019 - 00:00,02-Nov-2019 - 00:00,59.02,47.16,8.41,174.28,60.04,1.07
1036,02-Nov-2019 - 00:00,03-Nov-2019 - 00:00,72.46,46.66,9.43,143.14,55.41,0.85
1037,03-Nov-2019 - 00:00,04-Nov-2019 - 00:00,72.95,41.95,6.41,123.95,48.41,0.69
1038,04-Nov-2019 - 00:00,05-Nov-2019 - 00:00,76.71,40.4,6.17,129.9,61.93,0.99
1039,05-Nov-2019 - 00:00,06-Nov-2019 - 00:00,133.82,51.07,9.17,223.86,75.3,1.18
1040,06-Nov-2019 - 00:00,07-Nov-2019 - 00:00,167.11,59.55,9.3,261.93,66.97,1.21
1041,07-Nov-2019 - 00:00,08-Nov-2019 - 00:00,96.94,46.16,10.66,166.35,75.67,0.8
1042,08-Nov-2019 - 00:00,09-Nov-2019 - 00:00,57.63,29.96,3.7,97.6,40.11,0.43
1043,09-Nov-2019 - 00:00,10-Nov-2019 - 00:00,14.57,32.18,2.92,38.47,19.29,0.3
1044,10-Nov-2019 - 00:00,11-Nov-2019 - 00:00,29.76,39.58,4.25,54.2,24.32,0.42
1045,11-Nov-2019 - 00:00,12-Nov-2019 - 00:00,37.15,6.84,5.77,93.74,41.55,0.85
1046,12-Nov-2019 - 00:00,13-Nov-2019 - 00:00,105.05,6.46,10.73,192.06,59.06,1.33
1047,13-Nov-2019 - 00:00,14-Nov-2019 - 00:00,124,6.14,10.93,231.62,72.07,1.15
1048,14-Nov-2019 - 00:00,15-Nov-2019 - 00:00,97.18,5.74,10.01,184.63,68.82,0.95
1049,15-Nov-2019 - 00:00,16-Nov-2019 - 00:00,94.62,5.55,8.6,176.56,64.26,1.06
1050,16-Nov-2019 - 00:00,17-Nov-2019 - 00:00,92.95,5.54,8.45,175.54,62.81,1.13
1051,17-Nov-2019 - 00:00,18-Nov-2019 - 00:00,100.04,5.33,8,175.64,65.51,1.2
1052,18-Nov-2019 - 00:00,19-Nov-2019 - 00:00,109.08,9.17,12.78,184.9,76.32,1.31
